N,종목명,현재가,전일미,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,»ï¼ºÀüÀÚ,"77,600",600,+0.78%,100,"4,632,551","5,969,783",51.77,"9,353,921",15.04,9.99,
2,SKÇÏÀÌ´Ð½º,"123,500","2,500",+2.07%,"5,000","899,083","728,002",48.67,"2,671,688",11.17,9.53,
3,NAVER,"387,500","4,500",-1.15%,100,"636,521","164,263",56.51,"288,422",3.84,15.22,
4,»ï¼º¹ÙÀÌ¿À·ÎÁ÷½º,"904,000","14,000",+1.57%,"2,500","598,132","66,165",10.84,"78,980",145.71,N/A,
5,»ï¼ºÀüÀÚ¿ì,"70,500",100,+0.14%,100,"580,135","822,887",74.62,"560,329",13.67,N/A,
6,Ä«Ä«¿À,"118,500",0,0.00%,100,"528,255","445,785",30.93,"1,055,740",46.65,2.70,
7,LGÈ­ÇÐ,"696,000","5,000",-0.71%,"5,000","491,323","70,592",47.06,"227,525",18.14,2.93,
8,»ï¼ºSDI,"674,000","6,000",-0.88%,"5,000","463,473","68,765",45.92,"324,285",42.27,4.54,
9,Çö´ëÂ÷,"209,000","2,000",-0.95%,"5,000","446,567","213,668",28.75,"426,365",10.59,2.04,
10,±â¾Æ,"84,300","1,000",-1.17%,"5,000","341,721","405,363",35.28,"646,157",7.64,5.05,
11,Ä«Ä«¿À¹ðÅ©,"62,600",400,-0.63%,"5,000","297,450","475,159",6.40,"981,260",202.59,5.08,
12,¼¿Æ®¸®¿Â,"206,500",500,+0.24%,"1,000","284,861","137,947",20.15,"424,926",51.53,16.68,
13,POSCO,"282,000","6,500",-2.25%,"5,000","245,867","87,187",52.74,"346,258",4.22,3.61,
14,KB±ÝÀ¶,"57,300",100,-0.17%,"5,000","238,258","415,808",69.63,"604,681",5.48,8.53,
15,Å©·¡ÇÁÅæ,"485,000","8,000",-1.62%,100,"237,439","48,957",29.99,"110,615",38.02,61.86,
16,Ä«Ä«¿ÀÆäÀÌ,"180,000","1,500",+0.84%,500,"237,324","131,847",42.47,"365,467",-895.52,-17.97,
17,Çö´ë¸ðºñ½º,"242,000","2,000",-0.82%,"5,000","228,867","94,573",34.42,"88,729",9.74,4.66,
18,»ï¼º¹°»ê,"117,500",0,0.00%,100,"219,592","186,887",15.15,"155,981",13.37,3.81,
19,LGÀüÀÚ,"129,500","1,000",+0.78%,"5,000","211,924","163,648",29.87,"838,796",18.68,13.23,
20,SK¹ÙÀÌ¿À»çÀÌ¾ð½º,"260,000","2,000",+0.78%,500,"198,900","76,500",6.16,"369,687",100.12,13.25,
21,SKÀÌ³ëº£ÀÌ¼Ç,"210,000","1,500",-0.71%,"5,000","194,178","92,466",24.07,"201,639","-6,176.47",-13.58,
22,½ÅÇÑÁöÁÖ,"37,100",100,-0.27%,"5,000","191,658","516,600",60.21,"792,729",4.92,8.20,
23,LG»ýÈ°°Ç°­,"1,160,000","7,000",+0.61%,"5,000","181,171","15,618",43.68,"26,897",24.14,17.92,
24,SK,"257,000","5,000",-1.91%,200,"180,826","70,360",19.77,"178,894",30.03,1.11,
25,¿£¾¾¼ÒÇÁÆ®,"673,000","24,000",-3.44%,500,"147,751","21,954",44.98,"263,810",41.55,20.83,
26,ÇÑ±¹Àü·Â,"21,550",50,-0.23%,"5,000","138,343","641,964",14.70,"523,363",-12.70,2.91,
27,ÇÏÀÌºê,"332,500","1,000",+0.30%,500,"137,500","41,353",16.52,"117,254",118.29,12.52,
28,»ï¼º»ý¸í,"67,600",200,+0.30%,500,"135,200","200,000",12.46,"134,105",8.64,3.53,
29,»ï¼ºÀü±â,"180,500","2,500",+1.40%,"5,000","134,822","74,694",30.68,"363,963",13.88,10.92,
30,HMM,"27,050","1,350",-4.75%,"5,000","132,285","489,039",10.23,"3,864,326",3.41,8.93,
31,ÇÏ³ª±ÝÀ¶ÁöÁÖ,"43,750",150,+0.34%,"5,000","131,356","300,242",67.40,"552,775",4.09,8.96,
32,LG,"81,400",900,+1.12%,"5,000","128,043","157,301",36.70,"1,084,566",5.37,7.50,
33,SKÅÚ·¹ÄÞ,"56,000",200,-0.36%,100,"122,547","218,833",43.44,"745,614",8.69,6.44,
34,»ï¼º¿¡½ºµð¿¡½º,"158,000",500,+0.32%,500,"122,257","77,378",11.35,"63,650",17.99,6.71,
35,SK¾ÆÀÌÀÌÅ×Å©³î·ÎÁö,"170,500",0,0.00%,"1,000","121,562","71,298",11.34,"235,054",112.10,11.00,
36,KT&G,"84,100","1,900",-2.21%,"5,000","115,463","137,292",35.74,"1,442,143",9.70,13.22,
37,µÎ»êÁß°ø¾÷,"21,700",100,+0.46%,"5,000","112,975","520,622",8.24,"2,213,153",62.18,-37.20,
38,Æ÷½ºÄÚÄÉ¹ÌÄ®,"144,500",500,-0.34%,500,"111,934","77,463",6.43,"201,582",80.68,2.96,
39,¾Æ¸ð·¹ÆÛ½ÃÇÈ,"189,500","8,000",+4.41%,500,"110,844","58,493",31.04,"500,294",73.08,0.78,
40,³Ý¸¶ºí,"118,000","1,500",-1.26%,100,"101,425","85,954",22.83,"164,323",43.64,6.35,
41,´ëÇÑÇ×°ø,"29,100",100,+0.34%,"5,000","101,216","347,821",11.70,"810,349",13.67,-7.22,
42,S-Oil,"88,500",200,+0.23%,"2,500","99,636","112,583",77.84,"170,807",8.52,-13.07,
43,»ï¼ºÈ­Àç,"209,500",500,-0.24%,500,"99,250","47,375",48.66,"99,044",9.06,4.96,
44,¿ì¸®±ÝÀ¶ÁöÁÖ,"13,300",100,+0.76%,"5,000","96,832","728,061",29.90,"910,374",4.07,5.87,
45,°í·Á¾Æ¿¬,"509,000","4,000",-0.78%,"5,000","96,048","18,870",18.15,"23,587",12.73,8.37,
46,Çö´ëÁß°ø¾÷,"98,900","2,100",-2.08%,"5,000","87,797","88,773",1.55,"294,996",-10.79,-7.86,
47,SK½ºÄù¾î,"58,200","2,400",-3.96%,100,"82,334","141,468",39.41,"2,194,291",N/A,N/A,
48,±â¾÷ÀºÇà,"11,050",0,0.00%,"5,000","82,245","744,301",12.86,"624,014",4.09,6.44,
49,LGµð½ºÇÃ·¹ÀÌ,"22,900",700,+3.15%,"5,000","81,940","357,816",16.90,"3,161,908",5.19,-0.79,
50,KT,"31,100",50,+0.16%,"5,000","81,206","261,112",43.36,"434,384",7.95,4.76,
51,SK¹ÙÀÌ¿ÀÆÊ,"102,000",500,-0.49%,500,"79,880","78,313",6.24,"128,687",-197.67,-135.18,
52,·Ôµ¥ÄÉ¹ÌÄ®,"231,000","2,500",-1.07%,"5,000","79,176","34,275",25.51,"138,124",5.81,1.22,
53,LGÀÌ³ëÅØ,"331,500","29,000",+9.59%,"5,000","78,456","23,667",26.36,"740,279",10.50,10.20,
54,ÇÑ¿Â½Ã½ºÅÛ,"13,500",250,-1.82%,100,"72,063","533,800",17.69,"551,771",24.64,5.09,
55,ÇÑ±¹Á¶¼±ÇØ¾ç,"97,800",600,+0.62%,"5,000","69,216","70,773",19.84,"98,477",-5.37,-7.42,
56,ÇÑÈ­¼Ö·ç¼Ç,"35,500","1,050",-2.87%,"5,000","67,904","191,278",18.79,"909,051",9.07,5.30,
57,SKC,"178,500","2,500",-1.38%,"5,000","67,595","37,868",16.27,"226,448",36.36,2.21,
58,F&F,"870,000","5,000",+0.58%,500,"66,654","7,661",14.13,"18,252",N/A,N/A,
59,LGÀ¯ÇÃ·¯½º,"13,900",100,-0.71%,"5,000","60,689","436,611",35.03,"513,272",15.46,6.46,
60,Çö´ë±Û·Îºñ½º,"158,500","2,000",-1.25%,500,"59,438","37,500",33.03,"71,604",8.55,12.45,
61,CJÁ¦ÀÏÁ¦´ç,"392,000",0,0.00%,"5,000","59,012","15,054",22.54,"37,568",13.37,13.50,
62,¿¡½ºµð¹ÙÀÌ¿À¼¾¼­,"56,000",900,+1.63%,500,"57,832","103,271",6.35,"694,208",8.49,139.97,
